0.8,2,400
1,821,630,191,5,0.0062
2,823.0000,674.0000,149.0000,6,0.0069
3,831.0000,620.0000,211.0000,5,0.0057
4,827.0000,664.0000,163.0000,5,0.0067
5,814.0000,599.0000,215.0000,5,0.0052
6,810.0000,607.0000,203.0000,6,0.0053
7,826.0000,657.0000,169.0000,5,0.0056
8,814.0000,627.0000,187.0000,5,0.0069
9,825.0000,630.0000,195.0000,4,0.0055
10,812.0000,641.0000,171.0000,5,0.0063
11,833.0000,684.0000,149.0000,5,0.0062
12,814.0000,698.0000,116.0000,6,0.0068
13,814.0000,567.0000,247.0000,4,0.0047
14,825.0000,585.0000,240.0000,4,0.0047
15,824.0000,621.0000,203.0000,5,0.0061
16,805.0000,590.0000,215.0000,5,0.0054
17,823.0000,579.0000,244.0000,4,0.0056
18,824.0000,585.0000,239.0000,5,0.0054
19,813.0000,606.0000,207.0000,4,0.0053
20,818.0000,575.0000,243.0000,5,0.0063
21,814.0000,669.0000,145.0000,5,0.0068
22,811.0000,619.0000,192.0000,6,0.0054
23,817.0000,657.0000,160.0000,6,0.0064
24,824.0000,577.0000,247.0000,4,0.0051
25,821.0000,687.0000,134.0000,5,0.0064
26,829.0000,617.0000,212.0000,4,0.0056
27,805.0000,617.0000,188.0000,5,0.0059
28,835.0000,703.0000,132.0000,6,0.0064
29,811.0000,634.0000,177.0000,6,0.0054
30,823.0000,601.0000,222.0000,5,0.0054
31,818.0000,680.0000,138.0000,6,0.0072
32,830.0000,668.0000,162.0000,5,0.0058
33,827.0000,689.0000,138.0000,6,0.0061
34,825.0000,598.0000,227.0000,5,0.0057
35,807.0000,615.0000,192.0000,5,0.0062
36,832.0000,673.0000,159.0000,6,0.0058
37,821.0000,537.0000,284.0000,4,0.0052
38,831.0000,687.0000,144.0000,6,0.0067
39,821.0000,670.0000,151.0000,6,0.0060
40,843.0000,569.0000,274.0000,4,0.0052
41,815.0000,621.0000,194.0000,5,0.0058
42,800.0000,610.0000,190.0000,4,0.0037
43,838.0000,612.0000,226.0000,5,0.0034
44,807.0000,593.0000,214.0000,5,0.0038
45,823.0000,593.0000,230.0000,4,0.0034
46,821.0000,676.0000,145.0000,6,0.0039
