0.8,2,400
1,81,2,79,1,60.2281
2,81.0000,1.0000,80.0000,26,134.1840
3,81.0000,2.0000,79.0000,26,204.3961
4,81.0000,2.0000,79.0000,26,265.0532
5,81.0000,2.0000,79.0000,26,325.1517
6,81.0000,2.0000,79.0000,26,386.6371
7,81.0000,1.0000,80.0000,26,446.7317
8,81.0000,1.0000,80.0000,26,508.9873
9,81.0000,2.0000,79.0000,26,579.3694
10,81.0000,0.0000,81.0000,26,653.6097
11,81.0000,1.0000,80.0000,26,724.3001
12,81.0000,2.0000,79.0000,26,794.8824
13,81.0000,1.0000,80.0000,26,865.2973
14,81.0000,1.0000,80.0000,26,928.1395
15,81.0000,1.0000,80.0000,26,999.1503
16,81.0000,1.0000,80.0000,26,1060.7705
17,81.0000,1.0000,80.0000,26,1131.5647
18,81.0000,1.0000,80.0000,26,1201.9636
19,81.0000,1.0000,80.0000,26,1274.7203
20,81.0000,1.0000,80.0000,26,1346.2869
21,81.0000,1.0000,80.0000,26,1446.0848
22,81.0000,1.0000,80.0000,26,1516.3733
23,81.0000,1.0000,80.0000,26,1586.7161
24,81.0000,0.0000,81.0000,26,1657.8219
25,81.0000,1.0000,80.0000,26,1749.4287
26,81.0000,1.0000,80.0000,26,1800.0034
Best value,81.0000,2.0000,79.0000,26,1,60.2281,26,8694449
Clustering configuration: 
 Partition 0 (4): [ 6 17 21 25 ] 
 Partition 1 (1): [ 27 ] 
 Partition 2 (2): [ 1 18 ] 
 Partition 3 (1): [ 2 ] 
 Partition 4 (1): [ 4 ] 
 Partition 5 (1): [ 11 ] 
 Partition 6 (1): [ 23 ] 
 Partition 7 (1): [ 13 ] 
 Partition 8 (1): [ 19 ] 
 Partition 9 (1): [ 20 ] 
 Partition 10 (1): [ 10 ] 
 Partition 11 (1): [ 15 ] 
 Partition 12 (1): [ 22 ] 
 Partition 13 (1): [ 3 ] 
 Partition 14 (1): [ 8 ] 
 Partition 15 (1): [ 0 ] 
 Partition 16 (1): [ 29 ] 
 Partition 17 (1): [ 7 ] 
 Partition 18 (1): [ 16 ] 
 Partition 19 (1): [ 28 ] 
 Partition 20 (1): [ 5 ] 
 Partition 21 (1): [ 12 ] 
 Partition 22 (1): [ 9 ] 
 Partition 23 (1): [ 14 ] 
 Partition 24 (1): [ 24 ] 
 Partition 25 (1): [ 26 ] 
