0.8,2,400
1,825,678,147,5,0.0088
2,825.0000,629.0000,196.0000,5,0.0044
3,803.0000,666.0000,137.0000,5,0.0046
4,802.0000,609.0000,193.0000,5,0.0041
5,829.0000,608.0000,221.0000,4,0.0041
6,830.0000,688.0000,142.0000,5,0.0043
7,831.0000,666.0000,165.0000,6,0.0049
8,837.0000,681.0000,156.0000,5,0.0044
9,822.0000,649.0000,173.0000,5,0.0041
10,833.0000,684.0000,149.0000,5,0.0044
11,815.0000,622.0000,193.0000,5,0.0046
12,806.0000,532.0000,274.0000,4,0.0037
13,820.0000,654.0000,166.0000,5,0.0046
14,832.0000,644.0000,188.0000,5,0.0044
15,804.0000,615.0000,189.0000,4,0.0041
16,816.0000,670.0000,146.0000,6,0.0048
17,806.0000,623.0000,183.0000,5,0.0046
18,813.0000,600.0000,213.0000,4,0.0040
19,832.0000,610.0000,222.0000,6,0.0042
20,843.0000,558.0000,285.0000,5,0.0042
21,841.0000,706.0000,135.0000,6,0.0045
22,836.0000,659.0000,177.0000,4,0.0044
23,831.0000,645.0000,186.0000,6,0.0040
24,830.0000,687.0000,143.0000,6,0.0050
25,827.0000,709.0000,118.0000,5,0.0051
26,815.0000,601.0000,214.0000,5,0.0039
27,816.0000,578.0000,238.0000,5,0.0046
28,839.0000,609.0000,230.0000,5,0.0036
29,822.0000,668.0000,154.0000,5,0.0045
30,804.0000,597.0000,207.0000,5,0.0045
31,817.0000,609.0000,208.0000,5,0.0044
32,840.0000,672.0000,168.0000,6,0.0045
33,833.0000,674.0000,159.0000,7,0.0045
34,812.0000,640.0000,172.0000,5,0.0048
35,819.0000,682.0000,137.0000,5,0.0042
36,833.0000,596.0000,237.0000,5,0.0039
37,818.0000,626.0000,192.0000,5,0.0043
38,804.0000,562.0000,242.0000,4,0.0040
39,811.0000,628.0000,183.0000,6,0.0043
40,846.0000,629.0000,217.0000,5,0.0040
41,835.0000,622.0000,213.0000,5,0.0044
42,814.0000,606.0000,208.0000,5,0.0044
43,802.0000,625.0000,177.0000,5,0.0047
44,815.0000,579.0000,236.0000,5,0.0040
45,807.0000,630.0000,177.0000,5,0.0041
46,844.0000,602.0000,242.0000,5,0.0038
47,822.0000,676.0000,146.0000,5,0.0043
48,814.0000,614.0000,200.0000,5,0.0043
49,829.0000,632.0000,197.0000,5,0.0041
50,844.0000,706.0000,138.0000,7,0.0052
51,835.0000,665.0000,170.0000,5,0.0041
52,822.0000,667.0000,155.0000,5,0.0048
53,818.0000,620.0000,198.0000,5,0.0040
54,825.0000,653.0000,172.0000,6,0.0044
55,833.0000,664.0000,169.0000,5,0.0045
56,821.0000,604.0000,217.0000,5,0.0041
57,843.0000,639.0000,204.0000,4,0.0041
58,834.0000,645.0000,189.0000,5,0.0039
59,818.0000,682.0000,136.0000,5,0.0048
60,806.0000,655.0000,151.0000,5,0.0046
61,796.0000,585.0000,211.0000,4,0.0041
62,800.0000,608.0000,192.0000,5,0.0042
63,831.0000,608.0000,223.0000,5,0.0045
64,825.0000,596.0000,229.0000,4,0.0035
65,800.0000,619.0000,181.0000,5,0.0044
66,830.0000,660.0000,170.0000,5,0.0043
67,803.0000,643.0000,160.0000,5,0.0047
68,830.0000,651.0000,179.0000,6,0.0046
69,816.0000,631.0000,185.0000,5,0.0042
70,835.0000,647.0000,188.0000,5,0.0043
71,837.0000,587.0000,250.0000,4,0.0041
72,828.0000,566.0000,262.0000,5,0.0042
73,833.0000,657.0000,176.0000,5,0.0042
74,818.0000,657.0000,161.0000,5,0.0047
75,812.0000,638.0000,174.0000,5,0.0044
76,800.0000,547.0000,253.0000,4,0.0036
77,820.0000,643.0000,177.0000,5,0.0046
78,807.0000,635.0000,172.0000,5,0.0044
79,818.0000,621.0000,197.0000,5,0.0043
80,835.0000,688.0000,147.0000,6,0.0045
81,832.0000,661.0000,171.0000,5,0.0064
