0.8,2,400
1,4,0,4,2,0.0005
2,4.0000,0.0000,4.0000,2,0.0009
3,0.0000,0.0000,0.0000,2,0.0019
Best value,0.0000,0.0000,0.0000,3,3,0.0019,3,0
Clustering configuration: 
 Partition 0 (4): [ 0 4 5 8 ] 
 Partition 1 (3): [ 1 2 3 ] 
 Partition 2 (2): [ 6 7 ] 
